startTime,endTime,label
36.92428,36.92428,tissue
36.92442,36.92442,tissue
36.92454,36.92454,tissue
36.92492,36.92492,tissue
36.92512,36.92512,tissue
36.9253,36.9253,tissue
36.92632,36.92632,tissue
36.92648,36.92648,tissue
36.92652,36.92652,tissue
36.92662,36.9267,tissue
36.92675,36.92677,tissue
36.92686,36.92686,tissue
36.92695,36.92701,tissue
36.92699,36.92705,tissue
36.92706,36.92706,tissue
36.92712,36.92713,tissue
36.92722,36.92722,tissue
36.92728,36.92728,tissue
36.92734,36.92734,tissue
36.92738,36.92742,tissue
36.92746,36.92746,tissue
36.9275,36.92754,tissue
36.92757,36.9276,tissue
36.92764,36.92764,tissue
36.92768,36.92768,tissue
36.92793,36.92795,tissue
36.92797,36.92799,tissue
36.92811,36.92813,tissue
36.92816,36.92816,tissue
36.92828,36.92828,tissue
36.92833,36.92835,tissue
36.92839,36.92841,tissue
36.92855,36.92857,tissue
36.92882,36.92882,tissue
36.92938,36.92938,tissue
36.92962,36.92962,tissue
36.93024,36.93024,tissue
36.93356,36.93356,tissue
36.93415,36.93417,tissue
36.93508,36.93508,tissue
36.93516,36.9352,tissue
36.93522,36.93522,tissue
36.93526,36.93526,tissue
36.93557,36.93559,tissue
36.93569,36.93571,tissue
36.93584,36.93584,tissue
36.93594,36.93594,tissue
36.93604,36.93604,tissue
36.93616,36.93616,tissue
36.93634,36.93634,tissue
36.9364,36.93644,tissue
36.93654,36.93654,tissue
36.9366,36.9366,tissue
36.93678,36.93678,tissue
36.93682,36.93682,tissue
36.93698,36.93698,tissue
36.93706,36.93706,tissue
36.93718,36.93718,tissue
36.93721,36.93723,tissue
36.9373,36.9373,tissue
36.93736,36.93736,tissue
36.93745,36.93747,tissue
36.93764,36.93764,tissue
36.93774,36.93779,tissue
36.93786,36.93786,tissue
36.93797,36.93799,tissue
36.93801,36.93803,tissue
36.93814,36.93814,tissue
36.93826,36.93826,tissue
36.93832,36.93832,tissue
36.93839,36.93845,tissue
36.9385,36.9385,tissue
36.93854,36.93854,tissue
36.93858,36.93858,tissue
36.93862,36.93862,tissue
36.93863,36.93869,tissue
36.93879,36.93886,tissue
36.93898,36.93898,tissue
36.93898,36.93906,tissue
36.9391,36.9391,tissue
36.93924,36.93924,tissue
36.93942,36.93942,tissue
36.9395,36.9395,tissue
36.93956,36.93956,tissue
36.93961,36.93964,tissue
36.93976,36.9398,tissue
36.9398,36.93989,tissue
36.93987,36.93989,tissue
36.93997,36.93999,tissue
36.94002,36.94002,tissue
36.94036,36.94036,tissue
36.94054,36.94058,tissue
36.94074,36.94078,tissue
36.94086,36.94086,tissue
36.94093,36.94096,tissue
